this is cool,General_Conversation-Feedback_Positive
that was a great answer,General_Conversation-Feedback_Positive
you are intelligent,General_Conversation-Feedback_Positive
You are good,General_Conversation-Feedback_Positive
you are fabulous,General_Conversation-Feedback_Positive
you are doing really well,General_Conversation-Feedback_Positive
this is fantastic,General_Conversation-Feedback_Positive
i like this,General_Conversation-Feedback_Positive
you sound good,General_Conversation-Feedback_Positive
you rock,General_Conversation-Feedback_Positive
You really are good,General_Conversation-Feedback_Positive
you are really smart,General_Conversation-Feedback_Positive
good evening,General_Conversation-Greetings
greetings,General_Conversation-Greetings
hello,General_Conversation-Greetings
hi there,General_Conversation-Greetings
wassup,General_Conversation-Greetings
what is up,General_Conversation-Greetings
what's up,General_Conversation-Greetings
and helllo to you,General_Conversation-Greetings
good afternoon,General_Conversation-Greetings
good morning,General_Conversation-Greetings
can we start again,General_Conversation-Start_Over
restart please,General_Conversation-Start_Over
reset this,General_Conversation-Start_Over
let's restart,General_Conversation-Start_Over
go back to the start,General_Conversation-Start_Over
can we start from the beginning,General_Conversation-Start_Over
cool,General_Conversation-Thanks
coolies,General_Conversation-Thanks
coolio,General_Conversation-Thanks
ta,General_Conversation-Thanks
Thanks,General_Conversation-Thanks
thank you,General_Conversation-Thanks
what is the time,General_Conversation-Time
it is breakfast time yet,General_Conversation-Time
What time is it?,General_Conversation-Time
is it time for lunch,General_Conversation-Time
is it morning,General_Conversation-Time
is it evening yet,General_Conversation-Time
is it dinner time now,General_Conversation-Time
do you know the time,General_Conversation-Time
do you have the time,General_Conversation-Time
do you hate your job?,General_Conversation-Work
do you enjoy working,General_Conversation-Work
do you enjoy your work,General_Conversation-Work
do you feel happy about your job?,General_Conversation-Work
do you like what you do,General_Conversation-Work
Do you like your work?,General_Conversation-Work
how do you feel about your job,General_Conversation-Work
how do you feel about your work,General_Conversation-Work
bye,goodbye
so long,goodbye
see ya later,goodbye
let's end this,goodbye
I'll be going now,goodbye
I have got to go now,goodbye
good night,goodbye
goodbye,goodbye
farewell,goodbye
I'm confused now,guidance_request
I don't know what to do,guidance_request
tell me what to do,guidance_request
tell me what I type here,guidance_request
This is confused,guidance_request
what do I do,guidance_request
what happens next,guidance_request
what happens now,guidance_request
what next,guidance_request
what now,guidance_request
what's next,guidance_request
now what,guidance_request
is that it?,guidance_request
I'm lost,guidance_request
I'm confused here,guidance_request
Where are the actual people?,Help-Connect_to_Agent
transfer me to someone real,Help-Connect_to_Agent
transfer me to a person,Help-Connect_to_Agent
transfer me to a live agent,Help-Connect_to_Agent
talk to an actual person,Help-Connect_to_Agent
talk to a human,Help-Connect_to_Agent
real person,Help-Connect_to_Agent
need someone real,Help-Connect_to_Agent
need help from a real person,Help-Connect_to_Agent
May I speak with somebody?,Help-Connect_to_Agent
I would like to talk to a manager,Help-Connect_to_Agent
I would like to chat to a human please.,Help-Connect_to_Agent
i want to talk to someone real,Help-Connect_to_Agent
I want to talk to a live person,Help-Connect_to_Agent
I want to talk to a customer service representative please.,Help-Connect_to_Agent
i want a live agent,Help-Connect_to_Agent
i want a human to help,Help-Connect_to_Agent
give me a person,Help-Connect_to_Agent
give me a human agent,Help-Connect_to_Agent
connect me with a real person,Help-Connect_to_Agent
Can you connect me with an humant agent?,Help-Connect_to_Agent
can you connect me to a person,Help-Connect_to_Agent
can i talk to someone who is real,Help-Connect_to_Agent
can I be connected to a real person,Help-Connect_to_Agent
tell me about the security for this chat,Help-Security_Assurance
should i provide personal information,Help-Security_Assurance
is this conversation secure,Help-Security_Assurance
is it safe to talk to a virtual assistant,Help-Security_Assurance
is it safe givign you secure data,Help-Security_Assurance
how secure is this information,Help-Security_Assurance
do you protect my privacy,Help-Security_Assurance
can I provide personal information safely in this conversation,Help-Security_Assurance
So happy right now,joy
I am thrilled,joy
I am the happiest,joy
I am full of joy,joy
I am feeling much happier,joy
I am feeling happy,joy
I feel ecstatic today,joy
My mood has improved,joy
You made me feel happy,joy
I am happy,joy
What are your thoughts on movies?,movie_conversation
Do you enjoy watching films,movie_conversation
Do you like movies,movie_conversation
Do you like watching films,movie_conversation
have you seen any good movies,movie_conversation
let's go to the movies!,movie_conversation
Let us talk about movies,movie_conversation
You said you liked movies,movie_conversation
What was the last movie you saw?,movie_conversation
What do you think about movies?,movie_conversation
What do you like about movies,movie_conversation
What are your thoughts on watching films,movie_conversation
What are your thoughts on movies generally?,movie_conversation
okay but why,why
why this,why
?,why
this why,why
why,why
can we go without this,why_needed
do you need this,why_needed
I don't want to provide this,why_needed
why do you need this,why_needed
why is this needed,why_needed
you don't need this,why_needed
